100,0
200,0
300,0
400,20000
500,30000
600,30000
700,0
800,60000
900,0
1000,200000
1100,90000
1200,20000
1300,130000
1400,120000
1500,140000
1600,10000
1700,170000
1800,150000
1900,50000
2000,40000
2100,40000
2200,70000
2300,150000
2400,140000
2500,240000
2600,210000
2700,40000
2800,200000
2900,40000
3000,200000
3100,180000
3200,260000
3300,60000
3400,220000
3500,240000
3600,80000
3700,50000
3800,30000
3900,50000
4000,120000
4100,310000
4200,180000
4300,150000
4400,150000
4500,130000
4600,390000
4700,180000
4800,290000
4900,310000
5000,270000
5100,190000
5200,160000
5300,280000
5400,270000
5500,140000
5600,440000
5700,270000
5800,400000
5900,340000
6000,300000
6100,330000
6200,370000
6300,170000
6400,460000
6500,310000
6600,340000
6700,470000
6800,320000
6900,310000
7000,410000
7100,340000
7200,480000
7300,310000
7400,340000
7500,250000
7600,530000
7700,140000
7800,420000
7900,320000
8000,370000
8100,370000
8200,510000
8300,410000
8400,430000
8500,420000
8600,450000
8700,490000
8800,520000
8900,470000
9000,420000
9100,460000
9200,490000
9300,320000
9400,630000
9500,420000
9600,410000
9700,340000
9800,350000
9900,490000
10000,400000
