100,0
200,0
300,170
400,0
500,10
600,10
700,0
800,140
900,60
1000,40
1100,20
1200,10
1300,10
1400,20
1500,20
1600,10
1700,0
1800,0
1900,20
2000,0
2100,30
2200,20
2300,20
2400,0
2500,10
2600,0
2700,160
2800,0
2900,120
3000,10
3100,0
3200,0
3300,0
3400,10
3500,10
3600,10
3700,10
3800,0
3900,0
4000,50
4100,10
4200,10
4300,20
4400,10
4500,10
4600,10
4700,20
4800,20
4900,10
5000,20
5100,10
5200,0
5300,20
5400,10
5500,40
5600,0
5700,30
5800,0
5900,160
6000,20
6100,20
6200,10
6300,30
6400,30
6500,0
6600,10
6700,20
6800,20
6900,20
7000,160
7100,10
7200,30
7300,0
7400,0
7500,10
7600,0
7700,20
7800,10
7900,0
8000,10
8100,0
8200,130
8300,20
8400,10
8500,10
8600,0
8700,10
8800,150
8900,10
9000,30
9100,20
9200,10
9300,40
9400,10
9500,40
9600,30
9700,0
9800,30
9900,0
10000,10
